epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7464,1.89166,1.68571,1.2223,0.71627,0.38303,0.43029,0.21176,1.69798,1.14767,1.13168,0.00333075,0.00333075,0.00333075
2,187.636,1.73811,1.17895,1.10565,0.72112,0.39461,0.44841,0.2161,1.68582,1.0215,1.10188,0.00666408,0.00666408,0.00666408
3,279.469,1.73601,1.11259,1.09918,0.71981,0.38944,0.44262,0.22086,1.66483,1.00503,1.10533,0.00999741,0.00999741,0.00999741
4,370.783,1.71873,1.07185,1.10261,0.73356,0.38916,0.44776,0.22298,1.65264,0.96026,1.0798,0.01,0.01,0.01
5,461.477,1.68592,1.02226,1.08852,0.74281,0.40596,0.4674,0.2372,1.63045,0.9241,1.08683,0.01,0.01,0.01
6,552.879,1.67556,0.99493,1.07958,0.75077,0.42084,0.48318,0.24853,1.57444,0.88284,1.06456,0.01,0.01,0.01
7,644.373,1.64765,0.9591,1.07263,0.76178,0.43385,0.50102,0.2594,1.56199,0.85462,1.05796,0.00999999,0.00999999,0.00999999
8,734.674,1.61132,0.93015,1.06706,0.75593,0.43528,0.49973,0.25937,1.5626,0.85272,1.05341,0.00999999,0.00999999,0.00999999
9,825.512,1.61107,0.92407,1.05955,0.78361,0.4437,0.51208,0.26551,1.53081,0.81691,1.05049,0.00999999,0.00999999,0.00999999
10,916.485,1.59056,0.90191,1.05395,0.77365,0.44938,0.51895,0.27068,1.518,0.80344,1.03842,0.00999999,0.00999999,0.00999999
11,1006.91,1.57817,0.89038,1.05173,0.76543,0.44547,0.51468,0.26351,1.53977,0.81405,1.04558,0.00999999,0.00999999,0.00999999
12,1098.33,1.58055,0.88348,1.04632,0.77524,0.45747,0.52113,0.27046,1.52082,0.79656,1.04167,0.00999999,0.00999999,0.00999999
